equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Mallorca,Pablo Maffeo,Defender,2056.0,Sí,Sostén defensivo,7.66,25.33,46.53,25.51,103,217,137,37,6,Pablo Maffeo (Mallorca) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 103 en el ranking global de LaLiga.
Real sociedad,Brais Méndez,Midfielder,1505.0,Sí,Progresor / conector,23.49,27.94,24.76,25.43,104,66,116,195,8,Brais Méndez (Real sociedad) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 104 en el ranking global de LaLiga.
Girona,A. Ounahi,Midfielder,1117.0,Sí,Progresor / conector,22.04,30.35,23.34,25.34,105,71,90,208,7,A. Ounahi (Girona) aparece como progresor / conector. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 105 en el ranking global de LaLiga.
Osasuna,Rubén García,Midfielder,1713.0,Sí,Sostén defensivo,26.1,20.38,30.24,25.34,105,54,194,132,7,Rubén García (Osasuna) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 105 en el ranking global de LaLiga.
Alaves,L. Boyé,Forward,1767.0,Sí,Amenaza ofensiva,34.68,12.05,29.78,25.29,107,23,296,135,6,L. Boyé (Alaves) aparece como amenaza ofensiva. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 107 en el ranking global de LaLiga.
Girona,A. Witsel,Defender,1912.0,Sí,Sostén defensivo,8.17,28.65,41.28,25.27,108,207,106,54,8,A. Witsel (Girona) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 108 en el ranking global de LaLiga.
Celta,I. Moriba,Midfielder,1903.0,Sí,Sostén defensivo,13.13,24.53,39.91,25.15,109,128,145,67,5,I. Moriba (Celta) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 109 en el ranking global de LaLiga.
Barcelona,Gerard Martín,Defender,1539.0,Sí,Progresor / conector,4.02,38.73,33.33,24.96,110,304,41,112,11,Gerard Martín (Barcelona) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 110 en el ranking global de LaLiga.
Elche,Víctor Chust,Defender,1794.0,Sí,Sostén defensivo,1.89,34.31,39.92,24.64,111,372,62,66,5,Víctor Chust (Elche) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 111 en el ranking global de LaLiga.
Oviedo,David Carmo,Defender,1722.0,Sí,Sostén defensivo,5.11,30.17,40.94,24.63,112,277,92,58,2,David Carmo (Oviedo) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 112 en el ranking global de LaLiga.
Mallorca,Antonio Raíllo,Defender,2033.0,Sí,Sostén defensivo,6.47,30.5,37.47,24.18,113,241,88,83,7,Antonio Raíllo (Mallorca) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 113 en el ranking global de LaLiga.
Rayo Vallecano,A. Batalla,Goalkeeper,2700.0,Sí,Progresor / conector,0.45,45.84,26.52,24.16,114,412,22,174,6,A. Batalla (Rayo Vallecano) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 114 en el ranking global de LaLiga.
Getafe,David Soria,Goalkeeper,2700.0,Sí,Progresor / conector,0.22,47.48,24.39,24.01,115,419,20,199,4,David Soria (Getafe) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 115 en el ranking global de LaLiga.
Osasuna,E. Boyomo,Defender,1915.0,Sí,Sostén defensivo,7.12,26.22,40.97,23.96,116,228,132,57,8,E. Boyomo (Osasuna) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 116 en el ranking global de LaLiga.
Alaves,Carles Aleñá,Midfielder,1859.0,Sí,Sostén defensivo,17.8,24.52,30.42,23.94,117,92,146,131,7,Carles Aleñá (Alaves) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 117 en el ranking global de LaLiga.
Celta,Iago Aspas,Forward,814.0,Sí,Progresor / conector,24.65,31.48,14.12,23.88,118,61,78,323,6,Iago Aspas (Celta) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 118 en el ranking global de LaLiga.
Oviedo,I. Chaira,Forward,1854.0,Sí,Sostén defensivo,23.16,19.63,29.54,23.84,119,68,201,142,3,I. Chaira (Oviedo) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 119 en el ranking global de LaLiga.
Athletic Club,Nico Williams,Forward,1361.0,Sí,Amenaza ofensiva,28.31,21.94,20.61,23.77,120,46,178,229,6,Nico Williams (Athletic Club) aparece como amenaza ofensiva. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 120 en el ranking global de LaLiga.
Levante,Iván Romero,Forward,1882.0,Sí,Sostén defensivo,24.76,16.25,31.26,23.73,121,59,246,129,5,Iván Romero (Levante) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 121 en el ranking global de LaLiga.
Elche,Marc Aguado,Midfielder,2019.0,Sí,Sostén defensivo,5.31,26.42,41.91,23.68,122,273,131,52,6,Marc Aguado (Elche) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 122 en el ranking global de LaLiga.
Valencia,José Gayà,Defender,1980.0,Sí,Sostén defensivo,10.41,23.52,39.29,23.66,123,166,155,69,3,José Gayà (Valencia) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 123 en el ranking global de LaLiga.
Real sociedad,Igor Zubeldia,Defender,1899.0,Sí,Sostén defensivo,4.54,29.23,39.18,23.57,124,293,100,71,9,Igor Zubeldia (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 124 en el ranking global de LaLiga.
Sevilla,Juanlu Sánchez,Midfielder,1741.0,Sí,Sostén defensivo,11.74,23.59,37.29,23.55,125,146,154,84,5,Juanlu Sánchez (Sevilla) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 125 en el ranking global de LaLiga.
Real sociedad,Jon Martín,Defender,1710.0,Sí,Sostén defensivo,4.18,27.95,40.87,23.51,126,298,115,61,10,Jon Martín (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 126 en el ranking global de LaLiga.
Osasuna,Javi Galán,Defender,1275.0,Sí,Sostén defensivo,8.65,25.23,38.3,23.35,127,192,138,78,9,Javi Galán (Osasuna) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 127 en el ranking global de LaLiga.
Rayo Vallecano,Jorge de Frutos,Forward,2021.0,Sí,Amenaza ofensiva,35.47,12.8,21.44,23.33,128,18,286,222,7,Jorge de Frutos (Rayo Vallecano) aparece como amenaza ofensiva. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 128 en el ranking global de LaLiga.
Elche,Á. Rodríguez,Forward,1694.0,Sí,Amenaza ofensiva,29.73,14.71,25.64,23.24,129,39,265,184,7,Á. Rodríguez (Elche) aparece como amenaza ofensiva. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 129 en el ranking global de LaLiga.
Villareal,G. Mikautadze,Forward,1713.0,Sí,Amenaza ofensiva,38.94,14.8,14.1,23.04,130,15,264,324,6,G. Mikautadze (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 130 en el ranking global de LaLiga.
Osasuna,Lucas Torró,Midfielder,1924.0,Sí,Sostén defensivo,9.2,21.56,40.89,23.03,131,184,180,60,10,Lucas Torró (Osasuna) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 131 en el ranking global de LaLiga.
Espanyol,Pere Milla,Midfielder,1644.0,Sí,Sostén defensivo,25.31,18.57,25.54,23.02,132,58,209,185,6,Pere Milla (Espanyol) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 132 en el ranking global de LaLiga.
Valencia,Javi Guerra,Midfielder,1561.0,Sí,Sostén defensivo,11.76,28.14,29.46,22.8,133,145,112,143,4,Javi Guerra (Valencia) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 133 en el ranking global de LaLiga.
Athletic Club,Aymeric Laporte,Defender,1580.0,Sí,Sostén defensivo,4.07,31.77,34.19,22.8,133,303,77,104,7,Aymeric Laporte (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 133 en el ranking global de LaLiga.
Rayo Vallecano,P. Ciss,Midfielder,1441.0,Sí,Sostén defensivo,8.21,24.83,37.0,22.66,135,205,140,87,8,P. Ciss (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 135 en el ranking global de LaLiga.
Barcelona,Alejandro Balde,Defender,1519.0,Sí,Progresor / conector,12.0,30.87,25.06,22.52,136,141,86,192,12,Alejandro Balde (Barcelona) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 136 en el ranking global de LaLiga.
Celta,Álvaro Núñez,Defender,1764.0,Sí,Progresor / conector,7.55,31.13,29.63,22.43,137,220,81,139,7,Álvaro Núñez (Celta) aparece como progresor / conector. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 137 en el ranking global de LaLiga.
Elche,Álvaro Núñez,Defender,1764.0,Sí,Progresor / conector,7.55,31.13,29.63,22.43,137,220,81,139,8,Álvaro Núñez (Elche) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 137 en el ranking global de LaLiga.
Villareal,T. Buchanan,Forward,1546.0,Sí,Sostén defensivo,20.46,16.1,32.04,22.41,139,77,248,124,7,T. Buchanan (Villareal) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 139 en el ranking global de LaLiga.
Villareal,Renato Veiga,Midfielder,1938.0,Sí,Progresor / conector,2.21,34.41,31.89,22.38,140,364,61,126,8,Renato Veiga (Villareal) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 140 en el ranking global de LaLiga.
Oviedo,Aarón Escandell,Goalkeeper,2700.0,Sí,Progresor / conector,0.22,40.57,26.96,22.36,141,419,33,167,4,Aarón Escandell (Oviedo) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 141 en el ranking global de LaLiga.
Getafe,Diego Rico,Defender,1698.0,Sí,Sostén defensivo,3.08,22.17,44.44,22.17,142,335,173,43,5,Diego Rico (Getafe) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 142 en el ranking global de LaLiga.
Betis,G. Lo Celso,Midfielder,1098.0,Sí,Progresor / conector,18.83,28.96,18.08,22.15,143,85,104,259,8,G. Lo Celso (Betis) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 143 en el ranking global de LaLiga.
Atletico Madrid,M. Ruggeri,Defender,1370.0,Sí,Sostén defensivo,13.65,24.02,29.89,22.15,143,121,152,134,7,M. Ruggeri (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 143 en el ranking global de LaLiga.
Espanyol,Urko González de Zárate,Midfielder,2005.0,Sí,Sostén defensivo,2.92,23.21,43.09,22.07,145,342,158,49,7,Urko González de Zárate (Espanyol) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 145 en el ranking global de LaLiga.
Real sociedad,Urko González de Zárate,Midfielder,2005.0,Sí,Sostén defensivo,2.92,23.21,43.09,22.07,145,342,158,49,11,Urko González de Zárate (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 145 en el ranking global de LaLiga.
Valencia,Copete,Defender,1760.0,Sí,Sostén defensivo,2.31,29.23,36.4,21.96,147,357,100,90,5,Copete (Valencia) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 147 en el ranking global de LaLiga.
Real sociedad,Álex Remiro,Goalkeeper,2700.0,Sí,Progresor / conector,0.67,40.18,25.53,21.96,147,404,35,186,12,Álex Remiro (Real sociedad) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 147 en el ranking global de LaLiga.
Betis,Marc Roca,Midfielder,1672.0,Sí,Sostén defensivo,5.1,28.47,33.88,21.92,149,278,110,108,9,Marc Roca (Betis) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 149 en el ranking global de LaLiga.
Atletico Madrid,Javi Galán,Defender,1185.0,Sí,Sostén defensivo,8.65,23.17,35.92,21.91,150,192,161,92,8,Javi Galán (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 150 en el ranking global de LaLiga.
Athletic Club,Unai Simón,Goalkeeper,2700.0,Sí,Progresor / conector,0.22,37.36,28.89,21.82,151,419,49,148,8,Unai Simón (Athletic Club) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 151 en el ranking global de LaLiga.
Espanyol,Pol Lozano,Midfielder,1891.0,Sí,Sostén defensivo,10.12,27.53,28.77,21.81,152,170,121,149,8,Pol Lozano (Espanyol) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 152 en el ranking global de LaLiga.
Rayo Vallecano,Óscar Valentín,Midfielder,1690.0,Sí,Sostén defensivo,4.9,22.1,40.9,21.72,153,283,174,59,9,Óscar Valentín (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 153 en el ranking global de LaLiga.
Mallorca,Omar Mascarell,Midfielder,1666.0,Sí,Sostén defensivo,8.52,20.65,38.34,21.71,154,197,191,77,8,Omar Mascarell (Mallorca) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 154 en el ranking global de LaLiga.
Betis,V. Gómez,Defender,1414.0,Sí,Sostén defensivo,6.06,22.32,38.95,21.62,155,250,171,75,10,V. Gómez (Betis) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 155 en el ranking global de LaLiga.
Real Madrid,E. Camavinga,Midfielder,1217.0,Sí,Sostén defensivo,5.52,27.16,33.67,21.54,156,267,124,109,9,E. Camavinga (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 156 en el ranking global de LaLiga.
Sevilla,D. Sow,Midfielder,1780.0,Sí,Sostén defensivo,17.17,19.36,28.95,21.47,157,98,202,146,6,D. Sow (Sevilla) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 157 en el ranking global de LaLiga.
Oviedo,H. Hassan,Forward,1614.0,Sí,Sostén defensivo,16.89,22.93,25.09,21.46,158,100,166,191,5,H. Hassan (Oviedo) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 158 en el ranking global de LaLiga.
Getafe,Domingos Duarte,Defender,2316.0,Sí,Sostén defensivo,3.97,18.83,44.72,21.39,159,305,205,41,6,Domingos Duarte (Getafe) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 159 en el ranking global de LaLiga.
Villareal,Sergi Cardona,Defender,1553.0,Sí,Sostén defensivo,12.79,17.43,35.81,21.32,160,133,230,94,9,Sergi Cardona (Villareal) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 160 en el ranking global de LaLiga.
Oviedo,Alberto Reina,Midfielder,1794.0,Sí,Progresor / conector,16.05,24.46,23.76,21.31,161,108,147,205,6,Alberto Reina (Oviedo) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 161 en el ranking global de LaLiga.
Real sociedad,D. Ćaleta-Car,Defender,1610.0,Sí,Sostén defensivo,3.78,26.63,35.06,21.16,162,313,130,99,13,D. Ćaleta-Car (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 162 en el ranking global de LaLiga.
Real sociedad,T. Kubo,Forward,1183.0,Sí,Amenaza ofensiva,23.5,17.95,22.19,21.16,162,65,222,218,13,T. Kubo (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 162 en el ranking global de LaLiga.
Alaves,Antonio Sivera,Goalkeeper,2700.0,Sí,Progresor / conector,0.0,39.78,24.08,21.15,164,429,38,202,8,Antonio Sivera (Alaves) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 164 en el ranking global de LaLiga.
Celta,Borja Iglesias,Forward,1527.0,Sí,Amenaza ofensiva,34.71,15.97,11.26,21.11,165,22,251,360,8,Borja Iglesias (Celta) aparece como amenaza ofensiva. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 165 en el ranking global de LaLiga.
Oviedo,S. Colombatto,Midfielder,1666.0,Sí,Sostén defensivo,8.92,24.56,30.08,20.74,166,187,144,133,7,S. Colombatto (Oviedo) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 166 en el ranking global de LaLiga.
Rayo Vallecano,Unai López,Midfielder,1308.0,Sí,Sostén defensivo,13.19,24.35,25.18,20.69,167,127,148,190,10,Unai López (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 167 en el ranking global de LaLiga.
Athletic Club,Aitor Paredes,Defender,1449.0,Sí,Sostén defensivo,3.92,27.55,32.22,20.68,168,306,120,122,9,Aitor Paredes (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 168 en el ranking global de LaLiga.
Getafe,D. Dakonam,Defender,2132.0,Sí,Sostén defensivo,1.04,20.3,43.87,20.63,169,388,195,46,7,D. Dakonam (Getafe) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 169 en el ranking global de LaLiga.
Real sociedad,Jon Pacheco,Defender,1725.0,Sí,Sostén defensivo,2.32,28.52,32.79,20.63,169,355,107,119,15,Jon Pacheco (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 169 en el ranking global de LaLiga.
Alaves,Jon Pacheco,Defender,1725.0,Sí,Sostén defensivo,2.32,28.52,32.79,20.63,169,355,107,119,9,Jon Pacheco (Alaves) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 169 en el ranking global de LaLiga.
Sevilla,N. Gudelj,Midfielder,1950.0,Sí,Sostén defensivo,4.75,20.77,38.91,20.61,172,286,187,76,7,N. Gudelj (Sevilla) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 172 en el ranking global de LaLiga.
Atletico Madrid,N. González,Forward,1336.0,Sí,Sostén defensivo,17.36,18.17,27.15,20.58,173,95,219,164,9,N. González (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 173 en el ranking global de LaLiga.
Valencia,César Tárrega,Defender,1877.0,Sí,Sostén defensivo,1.65,23.61,39.07,20.56,174,375,153,74,6,César Tárrega (Valencia) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 174 en el ranking global de LaLiga.
Girona,Bryan Gil,Forward,1358.0,Sí,Sostén defensivo,16.55,20.27,24.98,20.38,175,101,196,193,9,Bryan Gil (Girona) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 175 en el ranking global de LaLiga.
Villareal,Alfonso Pedraza,Defender,1382.0,Sí,Sostén defensivo,10.34,18.51,34.09,20.32,176,168,210,105,10,Alfonso Pedraza (Villareal) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 176 en el ranking global de LaLiga.
Athletic Club,Gorka Guruzeta,Forward,1738.0,Sí,Amenaza ofensiva,29.71,11.71,19.04,20.21,177,40,302,247,10,Gorka Guruzeta (Athletic Club) aparece como amenaza ofensiva. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 177 en el ranking global de LaLiga.
Levante,K. Etta Eyong,Forward,1593.0,Sí,Amenaza ofensiva,29.99,8.61,22.27,20.19,178,37,353,216,6,K. Etta Eyong (Levante) aparece como amenaza ofensiva. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 178 en el ranking global de LaLiga.
Villareal,K. Etta Eyong,Forward,1593.0,Sí,Amenaza ofensiva,29.99,8.61,22.27,20.19,178,37,353,216,11,K. Etta Eyong (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 178 en el ranking global de LaLiga.
Getafe,Kiko Femenía,Defender,1764.0,Sí,Sostén defensivo,6.62,18.33,37.71,20.04,180,238,214,82,8,Kiko Femenía (Getafe) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 180 en el ranking global de LaLiga.
Atletico Madrid,A. Sørloth,Forward,1592.0,Sí,Amenaza ofensiva,31.94,10.77,16.47,19.89,181,31,317,278,10,A. Sørloth (Atletico Madrid) aparece como amenaza ofensiva. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 181 en el ranking global de LaLiga.
Celta,Hugo Sotelo,Midfielder,1181.0,Sí,Progresor / conector,8.14,29.15,22.73,19.87,182,208,103,213,9,Hugo Sotelo (Celta) aparece como progresor / conector. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 182 en el ranking global de LaLiga.
Barcelona,Ferran Torres,Forward,1613.0,Sí,Amenaza ofensiva,39.68,8.41,9.94,19.81,183,14,357,376,13,Ferran Torres (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 183 en el ranking global de LaLiga.
Levante,M. Ryan,Goalkeeper,2520.0,Sí,Progresor / conector,0.24,33.85,26.15,19.78,184,418,64,179,7,M. Ryan (Levante) aparece como progresor / conector. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 184 en el ranking global de LaLiga.
