equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Sevilla,César Azpilicueta,Defender,1038.0,Sí,Sostén defensivo,2.9,17.73,26.92,15.3,257,344,226,168,12,César Azpilicueta (Sevilla) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 257 en el ranking global de LaLiga.
Celta,Fran Beltrán,Midfielder,1124.0,Sí,Progresor / conector,4.35,23.21,18.64,15.24,258,296,158,251,15,Fran Beltrán (Celta) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 258 en el ranking global de LaLiga.
Barcelona,Iñaki Peña,Goalkeeper,1440.0,Sí,Progresor / conector,0.67,29.56,15.23,15.15,259,404,96,301,15,Iñaki Peña (Barcelona) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 259 en el ranking global de LaLiga.
Elche,Iñaki Peña,Goalkeeper,1440.0,Sí,Progresor / conector,0.67,29.56,15.23,15.15,259,404,96,301,14,Iñaki Peña (Elche) aparece como progresor / conector. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 259 en el ranking global de LaLiga.
Valencia,André Almeida,Midfielder,1002.0,Sí,Progresor / conector,5.76,21.62,18.16,15.03,261,260,179,258,11,André Almeida (Valencia) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 261 en el ranking global de LaLiga.
Valencia,L. Ramazani,Forward,785.0,Sí,Amenaza ofensiva,18.52,12.92,13.32,15.0,262,88,284,337,12,L. Ramazani (Valencia) aparece como amenaza ofensiva. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 262 en el ranking global de LaLiga.
Oviedo,L. Dendoncker,Midfielder,1332.0,Sí,Sostén defensivo,5.67,13.16,27.74,14.91,263,264,281,156,13,L. Dendoncker (Oviedo) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 263 en el ranking global de LaLiga.
Villareal,Dani Parejo,Midfielder,1049.0,Sí,Sostén defensivo,4.43,18.27,23.15,14.89,264,295,217,211,16,Dani Parejo (Villareal) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 264 en el ranking global de LaLiga.
Athletic Club,Robert Navarro,Midfielder,885.0,Sí,Amenaza ofensiva,17.86,13.1,13.46,14.87,265,90,283,336,14,Robert Navarro (Athletic Club) aparece como amenaza ofensiva. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 265 en el ranking global de LaLiga.
Elche,Rodrigo Mendoza,Midfielder,1007.0,Sí,Progresor / conector,5.99,21.99,16.23,14.66,266,253,176,284,15,Rodrigo Mendoza (Elche) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 266 en el ranking global de LaLiga.
Atletico Madrid,Rodrigo Mendoza,Midfielder,1007.0,Sí,Progresor / conector,5.99,21.99,16.23,14.66,266,253,176,284,20,Rodrigo Mendoza (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 266 en el ranking global de LaLiga.
Celta,I. Radu,Goalkeeper,2700.0,Sí,Sostén defensivo,0.22,18.76,26.61,14.63,268,419,208,171,16,I. Radu (Celta) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 268 en el ranking global de LaLiga.
Celta,Javi Rueda,Defender,979.0,Sí,Sostén defensivo,14.36,10.98,19.16,14.61,269,116,313,244,17,Javi Rueda (Celta) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 269 en el ranking global de LaLiga.
Alaves,Víctor Parada,Defender,1507.0,Sí,Sostén defensivo,8.5,16.35,19.62,14.58,270,199,243,237,12,Víctor Parada (Alaves) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 270 en el ranking global de LaLiga.
Sevilla,A. Sánchez,Forward,1058.0,Sí,Amenaza ofensiva,16.45,12.52,14.76,14.57,271,103,288,313,13,A. Sánchez (Sevilla) aparece como amenaza ofensiva. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 271 en el ranking global de LaLiga.
Valencia,E. Cömert,Defender,1014.0,Sí,Sostén defensivo,5.16,15.18,24.46,14.46,272,275,260,197,13,E. Cömert (Valencia) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 272 en el ranking global de LaLiga.
Celta,W. Swedberg,Midfielder,922.0,Sí,Amenaza ofensiva,20.59,9.47,12.98,14.42,273,76,336,342,18,W. Swedberg (Celta) aparece como amenaza ofensiva. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 273 en el ranking global de LaLiga.
Villareal,Luíz Júnior,Goalkeeper,2430.0,Sí,Sostén defensivo,0.0,18.34,26.47,14.36,274,429,213,175,17,Luíz Júnior (Villareal) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 274 en el ranking global de LaLiga.
Osasuna,Jorge Herrando,Defender,1401.0,Sí,Sostén defensivo,3.14,14.09,27.68,14.34,275,332,272,158,14,Jorge Herrando (Osasuna) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 275 en el ranking global de LaLiga.
Alaves,Y. Enríquez,Defender,1198.0,Sí,Sostén defensivo,6.94,16.44,20.24,14.26,276,234,241,231,13,Y. Enríquez (Alaves) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 276 en el ranking global de LaLiga.
Sevilla,Peque Fernández,Forward,871.0,Sí,Progresor / conector,12.13,16.89,13.49,14.2,277,139,235,334,14,Peque Fernández (Sevilla) aparece como progresor / conector. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 277 en el ranking global de LaLiga.
Real sociedad,Beñat Turrientes,Midfielder,936.0,Sí,Sostén defensivo,6.64,13.84,23.05,14.08,278,237,277,212,16,Beñat Turrientes (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 278 en el ranking global de LaLiga.
Real Madrid,T. Courtois,Goalkeeper,2520.0,Sí,Progresor / conector,0.22,23.02,19.78,14.07,279,419,164,234,13,T. Courtois (Real Madrid) aparece como progresor / conector. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 279 en el ranking global de LaLiga.
Valencia,F. Ugrinic,Midfielder,1061.0,Sí,Sostén defensivo,11.65,13.85,16.99,14.02,280,149,276,274,14,F. Ugrinic (Valencia) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 280 en el ranking global de LaLiga.
Barcelona,R. Araujo,Defender,861.0,Sí,Progresor / conector,7.16,18.78,16.36,13.99,281,225,207,279,16,R. Araujo (Barcelona) aparece como progresor / conector. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 281 en el ranking global de LaLiga.
